EXP dataset split_seed seed n_epoch lr hidden_layers hidden_units dropout wd alpha mse_tr capture_tr width_tr mse_va capture_va width_va mse_te capture_te width_te
163 concrete 1 10 5000 0.0001 1 100 0.1 0.01 0.05 0.04678 0.93792 0.35882 0.04849 0.95699 0.35175 0.04894 0.94175 0.37717
164 concrete 1 10 5000 0.0001 1 100 0.1 0.1 0.05 0.0884 0.92443 0.63045 0.08012 0.94624 0.62734 0.0786 0.95146 0.63203
165 concrete 1 10 5000 0.0001 1 100 0.1 1 0.05 0.22142 0.61538 0.39993 0.16361 0.72581 0.39965 0.16881 0.68932 0.39975
166 concrete 1 10 5000 0.0001 1 100 0.25 0 0.05 0.02151 0.92578 0.18183 0.04365 0.82796 0.17838 0.06105 0.80583 0.20159
167 concrete 1 10 5000 0.0001 1 100 0.25 0.001 0.05 0.02519 0.96356 0.20939 0.03904 0.88172 0.20559 0.05027 0.8835 0.22907
168 concrete 1 10 5000 0.0001 1 100 0.25 0.01 0.05 0.04678 0.93792 0.35882 0.04849 0.95699 0.35175 0.04894 0.94175 0.37717
169 concrete 1 10 5000 0.0001 1 100 0.25 0.1 0.05 0.0884 0.92443 0.63045 0.08012 0.94624 0.62734 0.0786 0.95146 0.63203
170 concrete 1 10 5000 0.0001 1 100 0.25 1 0.05 0.22142 0.61538 0.39993 0.16361 0.72581 0.39965 0.16881 0.68932 0.39975
171 concrete 1 10 5000 0.0001 1 100 0.5 0 0.05 0.02151 0.92578 0.18183 0.04365 0.82796 0.17838 0.06105 0.80583 0.20159
172 concrete 1 10 5000 0.0001 1 100 0.5 0.001 0.05 0.02519 0.96356 0.20939 0.03904 0.88172 0.20559 0.05027 0.8835 0.22907
173 concrete 1 10 5000 0.0001 1 100 0.5 0.01 0.05 0.04678 0.93792 0.35882 0.04849 0.95699 0.35175 0.04894 0.94175 0.37717
