EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
211 3 20 [100] 160.0 15.0 0.05 0.864 0.776 5.69 0.05 [100] 800 0.03 0.98 1 1
212 3 20 [100] 160.0 15.0 0.2 0.816 0.763 5.54 0.05 [100] 800 0.03 0.98 1 1
213 3 20 [100] 160.0 15.0 0.4 0.835 0.774 5.479 0.05 [100] 800 0.03 0.98 1 1
214 3 20 [100] 160.0 20.0 0.05 0.845 0.833 5.911 0.05 [100] 800 0.03 0.98 1 1
215 3 20 [100] 160.0 20.0 0.2 0.728 0.702 5.815 0.05 [100] 800 0.03 0.98 1 1
216 3 20 [100] 160.0 20.0 0.4 0.825 0.771 5.338 0.05 [100] 800 0.03 0.98 1 1
217 3 30 [50] 160.0 5.0 0.05 0.767 0.655 5.75 0.05 [50] 800 0.03 0.98 1 1
218 3 30 [50] 160.0 5.0 0.2 0.757 0.639 5.544 0.05 [50] 800 0.03 0.98 1 1
219 3 30 [50] 160.0 5.0 0.4 0.709 0.597 5.769 0.05 [50] 800 0.03 0.98 1 1
220 3 30 [50] 160.0 15.0 0.05 0.854 0.791 5.305 0.05 [50] 800 0.03 0.98 1 1
221 3 30 [50] 160.0 15.0 0.2 0.825 0.745 5.834 0.05 [50] 800 0.03 0.98 1 1
222 3 30 [50] 160.0 15.0 0.4 0.767 0.686 5.689 0.05 [50] 800 0.03 0.98 1 1
223 3 30 [50] 160.0 20.0 0.05 0.854 0.887 6.081 0.05 [50] 800 0.03 0.98 1 1
224 3 30 [50] 160.0 20.0 0.2 0.816 0.792 5.639 0.05 [50] 800 0.03 0.98 1 1
225 3 30 [50] 160.0 20.0 0.4 0.845 0.786 5.691 0.05 [50] 800 0.03 0.98 1 1
226 3 30 [75] 160.0 5.0 0.05 0.786 0.709 5.952 0.05 [75] 800 0.03 0.98 1 1
227 3 30 [75] 160.0 5.0 0.2 0.757 0.61 5.374 0.05 [75] 800 0.03 0.98 1 1
228 3 30 [75] 160.0 5.0 0.4 0.718 0.566 4.913 0.05 [75] 800 0.03 0.98 1 1
229 3 30 [75] 160.0 15.0 0.05 0.864 0.772 5.504 0.05 [75] 800 0.03 0.98 1 1
230 3 30 [75] 160.0 15.0 0.2 0.816 0.854 5.97 0.05 [75] 800 0.03 0.98 1 1
231 3 30 [75] 160.0 15.0 0.4 0.806 0.711 5.264 0.05 [75] 800 0.03 0.98 1 1
232 3 30 [75] 160.0 20.0 0.05 0.825 0.774 5.832 0.05 [75] 800 0.03 0.98 1 1
233 3 30 [75] 160.0 20.0 0.2 0.816 0.784 5.889 0.05 [75] 800 0.03 0.98 1 1
234 3 30 [75] 160.0 20.0 0.4 0.777 0.764 5.95 0.05 [75] 800 0.03 0.98 1 1
235 3 30 [100] 160.0 5.0 0.05 0.786 0.68 5.616 0.05 [100] 800 0.03 0.98 1 1
236 3 30 [100] 160.0 5.0 0.2 0.825 0.68 5.458 0.05 [100] 800 0.03 0.98 1 1
237 3 30 [100] 160.0 5.0 0.4 0.728 0.578 5.271 0.05 [100] 800 0.03 0.98 1 1
238 3 30 [100] 160.0 15.0 0.05 0.806 0.768 5.591 0.05 [100] 800 0.03 0.98 1 1
239 3 30 [100] 160.0 15.0 0.2 0.816 0.711 5.616 0.05 [100] 800 0.03 0.98 1 1
240 3 30 [100] 160.0 15.0 0.4 0.816 0.682 5.352 0.05 [100] 800 0.03 0.98 1 1
241 3 30 [100] 160.0 20.0 0.05 0.835 0.857 5.549 0.05 [100] 800 0.03 0.98 1 1
