EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
223 3 30 [50] 160.0 20.0 0.05 0.896 0.54 2.634 0.05 [50] 1200 0.016 0.97 1 1
224 3 30 [50] 160.0 20.0 0.2 0.896 0.536 2.601 0.05 [50] 1200 0.016 0.97 1 1
225 3 30 [50] 160.0 20.0 0.4 0.844 0.485 2.344 0.05 [50] 1200 0.016 0.97 1 1
226 3 30 [75] 160.0 5.0 0.05 0.831 0.399 2.275 0.05 [75] 1200 0.016 0.97 1 1
227 3 30 [75] 160.0 5.0 0.2 0.831 0.43 2.326 0.05 [75] 1200 0.016 0.97 1 1
228 3 30 [75] 160.0 5.0 0.4 0.831 0.386 2.299 0.05 [75] 1200 0.016 0.97 1 1
229 3 30 [75] 160.0 15.0 0.05 0.844 0.504 2.616 0.05 [75] 1200 0.016 0.97 1 1
230 3 30 [75] 160.0 15.0 0.2 0.87 0.505 2.743 0.05 [75] 1200 0.016 0.97 1 1
231 3 30 [75] 160.0 15.0 0.4 0.87 0.476 2.414 0.05 [75] 1200 0.016 0.97 1 1
232 3 30 [75] 160.0 20.0 0.05 0.883 0.521 2.619 0.05 [75] 1200 0.016 0.97 1 1
233 3 30 [75] 160.0 20.0 0.2 0.883 0.502 2.576 0.05 [75] 1200 0.016 0.97 1 1
234 3 30 [75] 160.0 20.0 0.4 0.844 0.48 2.306 0.05 [75] 1200 0.016 0.97 1 1
235 3 30 [100] 160.0 5.0 0.05 0.766 0.395 2.444 0.05 [100] 1200 0.016 0.97 1 1
236 3 30 [100] 160.0 5.0 0.2 0.844 0.389 2.493 0.05 [100] 1200 0.016 0.97 1 1
237 3 30 [100] 160.0 5.0 0.4 0.714 0.356 2.262 0.05 [100] 1200 0.016 0.97 1 1
